r,idf1,switches,n_cells,n_sessions,camera_frames,switches_per_100k_camera_frames
0.0,0.5946399847511483,40984,3,8,7205370,568.7979937185738
0.25,0.6695956789431639,3104,1,8,7205370,43.0789813708387
0.5,0.6972924119587058,1548,2,8,7205370,21.483976534168267
1.0,0.7497171459650509,696,3,8,7205370,9.659462317688057
2.0,0.7372285154472326,418,3,8,7205370,5.801228805737943
3.0,0.7281631952346805,366,1,8,7205370,5.0795448394738925
4.0,0.7405558013374383,336,3,8,7205370,4.6631887050907865
6.0,0.7347138492699747,324,2,8,7205370,4.496646251337544
8.0,0.706806611524545,314,2,8,7205370,4.357860873209842
12.0,0.7615781620218007,272,2,8,7205370,3.7749622850734936
16.0,0.7561896714052272,282,1,8,7205370,3.9137476632011956
24.0,0.7499215215966071,272,1,8,7205370,3.7749622850734936
