detector_recall,luc3d_idf1,sleap_idf1
0.9980137528933777,0.9990049621165271,1.0
0.9949587011636511,0.9974682091867333,1.0
0.994272681196148,0.9971202521165036,1.0
0.999041552797438,0.9995203634688877,1.0
0.9953865226686117,0.9976840495011147,1.0
0.9987218390804599,0.9993602061988032,1.0
0.9996761262432768,0.9998380095490891,0.9207177588142369
0.9984223243741156,0.8997271711375876,0.9641695817844823
0.9996532603311067,0.9998242446504478,0.9401497989018338
0.9996669597937302,0.9990702672436065,0.9484370594570953
0.9999813472855638,0.999990673120867,0.943923839361474
0.9951855331480277,0.997517545255605,0.999800914420661
0.3131787719732622,0.3206205012687611,0.4236854454968133
0.3057280423934699,0.4442606229101557,0.4494674656323719
0.5147772102358767,0.6443951079647766,0.6514073649471722
0.10660027800961187,0.17779112414475584,0.20462651434664655
0.15288449836743975,0.24969192288016714,0.2562834959942986
0.5011956132757917,0.5600314535333956,0.6104153713462527
0.2229841352383788,0.24257579973208823,0.2594645410860234
0.0386969844235387,0.053391498953254866,0.0796770999562535
0.17718650191179064,0.26392236148627024,0.2764251063436505
0.8600477548216995,0.8857533058957613,0.6563491428281807
0.9992331551689722,0.9990121164517731,0.9482092361735269
0.7726631267814711,0.8205090991736314,0.513560570594059
0.9988415057640504,0.9630514396420299,0.9214835865794782
0.9976398089559262,0.998812855944165,0.8308607274774658
0.9917446187897933,0.9957456330412914,0.9439366006495797
0.3017525593769048,0.2992055242970686,0.26668536399126447
0.06711504447692317,0.0760656560831843,0.10033860675510052
0.9913057449214343,0.6728413767985448,0.8045282033759144
0.046148847114823734,0.08180599734033875,0.08745731659632516
0.7211117411703541,0.7684901634797859,0.49832403444296847
0.767626894235215,0.8594056459608987,0.651292671286953
0.06855120458260401,0.12726536963704235,0.12427094368864643
0.8496143572575314,0.9185521751336433,0.5645317802188193
1.0,1.0,0.8982501452283874
1.0,1.0,0.9572187998721616
1.0,1.0,0.9995499117791459
0.9982688871593806,0.9987762431636659,0.8549155358071735
0.9972955651143974,0.9053371402998645,0.872522160410211
0.4055199686164208,0.4668259344230643,0.4720028326456139
0.9930450840773343,0.9308715881569967,0.8171079178242179
0.29228854683126543,0.3445126454913767,0.3088992137979451
0.8630925850693458,0.614703612423905,0.7915747717864879
0.9998344817425,0.999917230722219,0.9723260986899284
0.8568624283528731,0.8911676103542164,0.7493917207324748
0.8504001300570131,0.6917703426102356,0.73255713737641
0.8417670709730304,0.6690271637592348,0.7023407399661004
0.6268403357425992,0.6846351286731127,0.40839125376594176
0.550870686748672,0.6589607167497608,0.3710633541097619
0.25843911910529493,0.3588735767015001,0.20695559648900744
0.007353391201529048,0.01456467625297251,0.020965127935643122
0.7509093769442675,0.8168359946907143,0.5113286973278016
0.8842577190253967,0.9122511354739969,0.6707610170865123
0.13532802682795944,0.2328608338520024,0.15978927441316834
0.8562713864142245,0.6978469230761597,0.7595135699536653
0.12406907987120241,0.20992710665178838,0.19204916272706316
0.9525761162589305,0.9730616277876516,0.8643298985773789
0.9295698419006483,0.9562655073541974,0.729300987996425
0.9203375721755469,0.9481715410371042,0.8860959610784577
0.72339444497269,0.828704672377271,0.675132484903887
0.9950195257056036,0.9970058265362627,0.783433031965231
0.9976871408390151,0.9987858030213902,0.9392841826207002
0.9957309511483768,0.9977930330558397,0.9857408749844873
0.997654998617986,0.9974821632946648,0.7755136547467592
0.9991778100877289,0.9517923198005547,0.7768992111016962
0.9987005361132998,0.9621063058458073,0.9324288484842952
0.998737931076653,0.9981758141616623,0.862931717966831
0.999249688807205,0.9993646928796934,0.9003902298042177
0.513642724799935,0.5563005919121208,0.4551169008214875
0.6228783695919833,0.5991874386728867,0.4615969316166963
0.517707287606952,0.47393959719355117,0.46093628103975814
0.9112352849603772,0.948228797685671,0.5845897102185388
0.8005365212152299,0.8712586468729792,0.5993178184214449
